Resumen,Clave de incidencia,ID de la incidencia,Tipo de Incidencia,Estado,Clave del proyecto,Nombre del proyecto,Tipo de proyecto,Responsable del proyecto,ID del responsable del proyecto,Descripción del proyecto,Prioridad,Resolución,Persona asignada,ID de la persona asignada,Informador,ID del informador,Creador,ID del creador,Creada,Actualizada,Vista por Última Vez,Resuelta,Fecha de vencimiento,Votos,Descripción,Entorno,Interesados,ID de los interesados,Estimación original,Trabajo restante estimado,Tiempo Trabajado,Relación de trabajo,Σ Estimación original,Σ Trabajo restante estimado,Σ Tiempo empleado,Nivel de Seguridad,Campo personalizado (Clasificación),Campo personalizado (Color de la incidencia),Campo personalizado (Estado de verificación),Campo personalizado (Fecha de inicio),Campo personalizado (Fuente del requisito),Campo personalizado (Prioridad MoSCoW),Campo personalizado (Sesiones de agentes),Campo personalizado (Team),Campo personalizado (development),Categoría de estado,Categoría de estado cambiada,Principal,Clave principal,Parent summary
Gestionar recordatorios de controles preventivos,KAN-30,10029,Historia,Backlog,KAN,MundiPets-PE4,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 2:09 PM,09/ago/26 2:09 PM,,,,0,"RF asociado: RF-10
Caso de uso enlazado: (sin CU asignado — requisito huérfano, reportar en matriz)",,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i0006f:,,,,"EV-02, EV-04, EV-06, EV-11",Should,,,,Por hacer,09/ago/26 2:09 PM,10004,KAN-5,"E5 — Cuenta, privacidad y comunicación"
"Verificar que el formulario exige nombre, especie, raza, sexo, edad y estado reproductivo.",KAN-32,10031,Subtarea,Backlog,KAN,MundiPets-PE4,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 2:11 PM,09/ago/26 2:11 PM,,,,0,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i0006v:,,,,,,,,,Por hacer,09/ago/26 2:11 PM,10005,KAN-6,Registrar mascota
Verificar que el perfil queda almacenado y es consultable inmediatamente tras el registro.,KAN-33,10032,Subtarea,Backlog,KAN,MundiPets-PE4,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 2:12 PM,09/ago/26 2:12 PM,,,,0,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i00073:,,,,,,,,,Por hacer,09/ago/26 2:12 PM,10005,KAN-6,Registrar mascota
"Verificar que se puede registrar una vacuna con fecha de aplicación, cepa y aplicador.",KAN-34,10033,Subtarea,Backlog,KAN,MundiPets-PE4,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 2:12 PM,09/ago/26 2:12 PM,,,,0,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i0007b:,,,,,,,,,Por hacer,09/ago/26 2:12 PM,10018,KAN-19,Gestionar historial médico de la mascota
Verificar que el historial actualizado es visible para usuarios autorizados.,KAN-35,10034,Subtarea,Backlog,KAN,MundiPets-PE4,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 2:13 PM,09/ago/26 2:13 PM,,,,0,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i0007j:,,,,,,,,,Por hacer,09/ago/26 2:13 PM,10018,KAN-19,Gestionar historial médico de la mascota
"Verificar que el perfil muestra datos generales, historial médico y fotografías.",KAN-36,10035,Subtarea,Backlog,KAN,MundiPets-PE4,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 2:13 PM,09/ago/26 2:13 PM,,,,0,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i0007r:,,,,,,,,,Por hacer,09/ago/26 2:13 PM,10006,KAN-7,Consultar perfil completo de una mascota
Verificar que un usuario no autorizado no ve datos de contacto ni ubicación exacta (RNF-16),KAN-37,10036,Subtarea,Backlog,KAN,MundiPets-PE4,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 2:13 PM,09/ago/26 2:13 PM,,,,0,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i0007z:,,,,,,,,,Por hacer,09/ago/26 2:13 PM,10006,KAN-7,Consultar perfil completo de una mascota
Verificar que el adoptante puede enviar una solicitud con su información de perfil.,KAN-38,10037,Subtarea,Backlog,KAN,MundiPets-PE4,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 2:14 PM,09/ago/26 2:14 PM,,,,0,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i00087:,,,,,,,,,Por hacer,09/ago/26 2:14 PM,10012,KAN-13,Gestionar solicitudes de adopción
Verificar que el propietario (o refugio) puede aceptar o rechazar la solicitud,KAN-39,10038,Subtarea,Backlog,KAN,MundiPets-PE4,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 2:14 PM,09/ago/26 2:14 PM,,,,0,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i0008f:,,,,,,,,,Por hacer,09/ago/26 2:14 PM,10012,KAN-13,Gestionar solicitudes de adopción
Verificar que el sistema calcula un resultado de compatibilidad a partir de antecedentes genéticos.,KAN-40,10039,Subtarea,Backlog,KAN,MundiPets-PE4,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 2:14 PM,09/ago/26 2:14 PM,,,,0,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i0008n:,,,,,,,,,Por hacer,09/ago/26 2:14 PM,10022,KAN-23,Evaluar compatibilidad entre mascotas para cruza
Verificar que se muestra una explicación causal del resultado en máximo 60 palabras (RNF-13).,KAN-41,10040,Subtarea,Backlog,KAN,MundiPets-PE4,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 2:14 PM,09/ago/26 2:14 PM,,,,0,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i0008v:,,,,,,,,,Por hacer,09/ago/26 2:14 PM,10022,KAN-23,Evaluar compatibilidad entre mascotas para cruza
